Participant,TrialNum,Marker,ConditionKey,Mode,Composition,Collider,ConditionID,min_A,min_B,min_AB,min_AminusB,TrialInBlock
P2,19,C7,c1,AR,0R2V,1,1,1181.7498151286334,1314.9558839200588,1248.352849524346,-133.20606879142542,3
P2,19,S2,c1,AR,0R2V,1,1,749.7134085719056,981.6349262734032,865.6741674226544,-231.92151770149758,3
P2,20,C7,c6,AR,2R0V,2,6,1185.4514656061049,1370.2895609896027,1277.870513297854,-184.83809538349783,1
P2,20,S2,c6,AR,2R0V,2,6,770.8797563089549,995.4454229789351,883.162589643945,-224.56566666998015,1
P2,21,C7,c6,AR,2R0V,2,6,1233.3841396272385,1249.8475500882937,1241.6158448577662,-16.46341046105522,2
P2,21,S2,c6,AR,2R0V,2,6,854.6535587373027,907.6484534779523,881.1510061076275,-52.99489474064967,2
P2,22,C7,c6,AR,2R0V,2,6,1181.5545852318376,1338.5988003122047,1260.076692772021,-157.04421508036717,3
P2,22,S2,c6,AR,2R0V,2,6,727.7897561724136,1015.5048890879751,871.6473226301944,-287.7151329155615,3
P2,23,C7,c2,AR,2R0V,0,2,1161.789634274338,1350.640020301428,1256.214827287883,-188.85038602709005,1
P2,23,S2,c2,AR,2R0V,0,2,750.4302205137521,958.652502543174,854.5413615284631,-208.22228202942188,1
P2,24,C7,c2,AR,2R0V,0,2,1103.729307770446,1235.6650139680535,1169.6971608692497,-131.9357061976075,2
P2,24,S2,c2,AR,2R0V,0,2,666.5593741211143,867.1605156990676,766.8599449100909,-200.60114157795329,2
P2,25,C7,c2,AR,2R0V,0,2,1196.4147309390798,1255.5746235857423,1225.9946772624112,-59.159892646662456,3
P2,25,S2,c2,AR,2R0V,0,2,749.9892853536371,894.932639833328,822.4609625934826,-144.94335447969092,3
P2,26,C7,c3,AR,1R1V,0,3,1127.1693479074356,1342.6982560232364,1234.933801965336,-215.52890811580073,1
P2,26,S2,c3,AR,1R1V,0,3,672.5947880745349,945.1782574243547,808.8865227494448,-272.5834693498198,1
P2,27,C7,c3,AR,1R1V,0,3,1108.3408132859968,1166.7495723871566,1137.5451928365767,-58.40875910115983,2
P2,27,S2,c3,AR,1R1V,0,3,654.1208651944766,738.5007963077227,696.3108307510996,-84.37993111324613,2
