Participant,TrialNum,Marker,ConditionKey,Mode,Composition,Collider,ConditionID,mean_A,mean_B,mean_AB,mean_AminusB,TrialInBlock
P2,19,S2,c1,AR,0R2V,1,1,1536.4874487115565,1529.2485418292374,1532.867995270397,7.238906882319043,3
P2,20,C7,c6,AR,2R0V,2,6,1796.2802682903964,1516.1867444429688,1656.2335063666826,280.0935238474276,1
P2,20,S2,c6,AR,2R0V,2,6,1430.4074601953034,1360.5396599111477,1395.4735600532256,69.86780028415569,1
P2,21,C7,c6,AR,2R0V,2,6,1577.4147312372654,1699.116504721235,1638.2656179792502,-121.70177348396965,2
P2,21,S2,c6,AR,2R0V,2,6,1236.6717519630633,1487.981705547655,1362.3267287553592,-251.30995358459177,2
P2,22,C7,c6,AR,2R0V,2,6,1428.538973023872,1577.7340728558333,1503.1365229398525,-149.19509983196144,3
P2,22,S2,c6,AR,2R0V,2,6,1251.2465702258,1303.7926685369755,1277.5196193813877,-52.546098311175456,3
P2,23,C7,c2,AR,2R0V,0,2,1875.0635566489607,1511.735830994392,1693.3996938216765,363.32772565456867,1
P2,23,S2,c2,AR,2R0V,0,2,1656.9494526061749,1276.9676997996103,1466.9585762028926,379.9817528065646,1
P2,24,C7,c2,AR,2R0V,0,2,1328.3518340171745,1744.8952941086425,1536.6235640629084,-416.543460091468,2
P2,24,S2,c2,AR,2R0V,0,2,1183.6143535688182,1473.7301316380103,1328.6722426034144,-290.1157780691922,2
P2,25,C7,c2,AR,2R0V,0,2,1505.640437670145,1682.7693977685651,1594.204917719355,-177.12896009842007,3
P2,25,S2,c2,AR,2R0V,0,2,1210.7309934810485,1396.3061676124132,1303.5185805467308,-185.57517413136475,3
P2,26,C7,c3,AR,1R1V,0,3,1504.0991032462118,1556.6888195458287,1530.3939613960201,-52.58971629961684,1
P2,26,S2,c3,AR,1R1V,0,3,1623.0334861551614,1322.0385747921414,1472.5360304736514,300.99491136302004,1
P2,27,C7,c3,AR,1R1V,0,3,1377.0496846142862,1709.432167784416,1543.2409261993512,-332.3824831701297,2
P2,27,S2,c3,AR,1R1V,0,3,1483.6540073159442,1333.807314161935,1408.7306607389396,149.84669315400924,2
P2,28,C7,c3,AR,1R1V,0,3,1439.1571437597909,1695.6682562194396,1567.4126999896152,-256.51111245964876,3
P2,28,S2,c3,AR,1R1V,0,3,1354.2969940360538,1449.256730471224,1401.776862253639,-94.95973643517027,3
P2,29,C7,c9,AR,0R2V,2,9,1455.0857357121697,1670.9989067933834,1563.0423212527767,-215.9131710812137,1
P2,29,S2,c9,AR,0R2V,2,9,1332.7985277338685,1388.611597022183,1360.7050623780258,-55.81306928831464,1
P2,30,C7,c9,AR,0R2V,2,9,1443.8924429991607,1705.0208580880048,1574.4566505435828,-261.1284150888441,2
P2,30,S2,c9,AR,0R2V,2,9,1138.2747382806756,1371.5017360690792,1254.8882371748773,-233.22699778840365,2
P2,31,C7,c9,AR,0R2V,2,9,1407.3907270564566,1658.6952214153994,1533.0429742359279,-251.30449435894275,3
P2,31,S2,c9,AR,0R2V,2,9,1234.1541697618513,1370.4428952713454,1302.2985325165982,-136.28872550949404,3
P2,32,C7,c5,AR,0R2V,0,5,1490.3263538382428,1604.0037563791234,1547.1650551086832,-113.67740254088062,1
P2,32,S2,c5,AR,0R2V,0,5,1705.872230650885,1330.300918238033,1518.086574444459,375.57131241285197,1
P2,33,C7,c5,AR,0R2V,0,5,1326.0715795070323,1609.9355943621483,1468.0035869345902,-283.864014855116,2
P2,33,S2,c5,AR,0R2V,0,5,1143.3473218120964,1315.221527404805,1229.2844246084508,-171.87420559270868,2
P2,34,C7,c5,AR,0R2V,0,5,1403.4382985225334,1710.1983558982035,1556.8183272103684,-306.76005737567016,3
P2,34,S2,c5,AR,0R2V,0,5,1190.4206943103427,1301.386893191674,1245.9037937510084,-110.96619888133137,3
P2,35,C7,c7,AR,2R0V,1,7,1849.015324150945,1557.741379863129,1703.378352007037,291.273944287816,1
P2,35,S2,c7,AR,2R0V,1,7,1560.3142686960757,1206.7550826388194,1383.5346756674476,353.5591860572563,1
P2,36,C7,c7,AR,2R0V,1,7,1420.9522448002958,1692.564145248828,1556.758195024562,-271.6119004485322,2
P2,36,S2,c7,AR,2R0V,1,7,1198.8154283264569,1611.3362041655912,1405.075816246024,-412.52077583913433,2
P2,37,C7,c7,AR,2R0V,1,7,1403.631041817559,1711.1302172489657,1557.3806295332624,-307.4991754314067,3
P2,37,S2,c7,AR,2R0V,1,7,1224.2035398883813,1414.757726194623,1319.4806330415022,-190.55418630624172,3
P2,38,C7,c8,AR,1R1V,1,8,1624.5210745616123,1571.4251892550553,1597.973131908334,53.095885306556966,1
P2,38,S2,c8,AR,1R1V,1,8,1532.3182503422256,1286.387034036923,1409.3526421895745,245.93121630530254,1
P2,39,C7,c8,AR,1R1V,1,8,1412.8782016400069,1740.5744829499363,1576.7263422949716,-327.6962813099294,2
P2,39,S2,c8,AR,1R1V,1,8,1254.6580004734533,1362.0586584711707,1308.358329472312,-107.40065799771742,2
P2,40,C7,c8,AR,1R1V,1,8,1404.974268384655,1700.7616742816288,1552.867971333142,-295.7874058969737,3
P2,40,S2,c8,AR,1R1V,1,8,1414.199940741101,1333.1935851719238,1373.6967629565124,81.00635556917723,3
P3,2,C7,c7,AR,2R0V,1,7,1421.5864422877312,1502.8470403244246,1462.216741306078,-81.26059803669341,1
P3,2,S2,c7,AR,2R0V,1,7,1255.2690490763248,1372.4530020694076,1313.8610255728663,-117.18395299308281,1
P3,3,C7,c7,AR,2R0V,1,7,1688.532554657023,1631.9680564530856,1660.2503055550542,56.56449820393732,2
P3,3,S2,c7,AR,2R0V,1,7,1469.4153081611237,1559.9303431526791,1514.6728256569013,-90.51503499155547,2
P3,4,C7,c7,AR,2R0V,1,7,1443.435824728862,1644.3158191352052,1543.8758219320334,-200.87999440634326,3
P3,4,S2,c7,AR,2R0V,1,7,1155.735584514387,1336.7139453758132,1246.2247649451,-180.97836086142615,3
P3,5,C7,c8,AR,1R1V,1,8,1369.3507650865538,1681.4862640578351,1525.4185145721945,-312.1354989712813,1
P3,5,S2,c8,AR,1R1V,1,8,1235.9419456808566,1313.6772514954241,1274.8095985881405,-77.73530581456748,1
P3,6,C7,c8,AR,1R1V,1,8,1739.496948612296,1492.7357746995558,1616.1163616559259,246.7611739127401,2
P3,6,S2,c8,AR,1R1V,1,8,1443.0178653788942,1449.3261314402,1446.171998409547,-6.308266061305858,2
P3,7,C7,c8,AR,1R1V,1,8,1430.209680784971,1703.135335276584,1566.6725080307774,-272.92565449161316,3
P3,7,S2,c8,AR,1R1V,1,8,1235.5708836668302,1370.2183890905244,1302.8946363786772,-134.64750542369416,3
P3,8,C7,c5,AR,0R2V,0,5,1436.7968734864241,1570.2471380083632,1503.5220057473937,-133.45026452193906,1
P3,8,S2,c5,AR,0R2V,0,5,1220.7494750713897,1309.8745832600716,1265.3120291657306,-89.1251081886819,1
P3,9,C7,c5,AR,0R2V,0,5,1728.9589557986512,1569.6056368390484,1649.2822963188498,159.3533189596028,2
P3,9,S2,c5,AR,0R2V,0,5,804.8502540128874,1346.77412197663,1075.8121879947587,-541.9238679637427,2
P3,10,C7,c5,AR,0R2V,0,5,1373.5943466077126,1608.4271174224443,1491.0107320150785,-234.8327708147317,3
P3,10,S2,c5,AR,0R2V,0,5,1220.436681392612,1372.2647778800279,1296.35072963632,-151.8280964874159,3
P3,11,C7,c1,AR,0R2V,1,1,1419.3943585321097,1552.4397046300023,1485.917031581056,-133.04534609789266,1
P3,11,S2,c1,AR,0R2V,1,1,1259.7216935238591,1380.927205729288,1320.3244496265736,-121.20551220542893,1
P3,12,C7,c1,AR,0R2V,1,1,1821.3254584471047,1546.6717008695575,1683.998579658331,274.65375757754714,2
P3,12,S2,c1,AR,0R2V,1,1,1513.9805495750861,1436.973730558364,1475.477140066725,77.00681901672215,2
P3,13,C7,c1,AR,0R2V,1,1,1426.1640467081754,1467.45188224349,1446.8079644758327,-41.28783553531457,3
P3,13,S2,c1,AR,0R2V,1,1,1285.0217393764651,1334.418098549416,1309.7199189629405,-49.39635917295095,3
P3,14,C7,c12,VR,0R2V,1,12,1377.5612309460473,1637.0265803968114,1507.2939056714295,-259.46534945076405,1
P3,14,S2,c12,VR,0R2V,1,12,1223.6487851730597,1346.053089816753,1284.8509374949062,-122.40430464369342,1
P3,15,C7,c12,VR,0R2V,1,12,1726.436755107195,1705.2433250637453,1715.8400400854703,21.19343004344978,2
P3,15,S2,c12,VR,0R2V,1,12,1523.0341729251963,1517.4740567134445,1520.2541148193204,5.560116211751847,2
P3,16,C7,c12,VR,0R2V,1,12,1420.5378492585075,1599.5073614800765,1510.022605369292,-178.96951222156895,3
P3,16,S2,c12,VR,0R2V,1,12,1257.1492002067016,1369.5277697002243,1313.338484953463,-112.37856949352272,3
P3,17,C7,c10,VR,0R2V,2,10,1643.9388662835215,1612.1194993482907,1628.029182815906,31.819366935230846,1
P3,17,S2,c10,VR,0R2V,2,10,1147.4790549840766,1349.7771536068929,1248.6281042954847,-202.29809862281627,1
P3,18,C7,c10,VR,0R2V,2,10,1796.2626362154015,1552.18818386969,1674.2254100425457,244.0744523457115,2
P3,18,S2,c10,VR,0R2V,2,10,784.5777778356462,1328.0767527957792,1056.3272653157128,-543.498974960133,2
P3,19,C7,c10,VR,0R2V,2,10,1401.8343975289454,1573.1615307932964,1487.4979641611208,-171.327133264351,3
P3,19,S2,c10,VR,0R2V,2,10,1227.8313713099574,1436.2090240495008,1332.020197679729,-208.37765273954346,3
P3,20,C7,c11,VR,0R2V,0,11,1380.2519064034652,1629.5253847910537,1504.8886455972595,-249.2734783875885,1
P3,20,S2,c11,VR,0R2V,0,11,1224.4246652320678,1372.0754902519868,1298.2500777420273,-147.650825019919,1
P3,21,C7,c11,VR,0R2V,0,11,1793.8215260649874,1555.2599896105573,1674.5407578377724,238.5615364544301,2
P3,21,S2,c11,VR,0R2V,0,11,1488.9353766027916,1484.16727047652,1486.5513235396556,4.768106126271732,2
P3,22,C7,c11,VR,0R2V,0,11,1377.8229918811232,1677.8234482580515,1527.8232200695875,-300.00045637692824,3
P3,22,S2,c11,VR,0R2V,0,11,1246.6855137144494,1403.8688696439788,1325.277191679214,-157.1833559295294,3
P3,23,C7,c2,AR,2R0V,0,2,1407.8505591169762,1645.3825264010993,1526.6165427590377,-237.53196728412308,1
P3,23,S2,c2,AR,2R0V,0,2,1240.2977383909317,1368.8428162010534,1304.5702772959926,-128.5450778101217,1
P3,24,C7,c2,AR,2R0V,0,2,1782.4131386629688,1561.4861291664283,1671.9496339146986,220.92700949654045,2
P3,24,S2,c2,AR,2R0V,0,2,1490.3602429050356,1418.43080567554,1454.3955242902878,71.92943722949576,2
P3,25,C7,c2,AR,2R0V,0,2,1363.9623570246831,1594.441375135788,1479.2018660802355,-230.47901811110478,3
P3,25,S2,c2,AR,2R0V,0,2,1205.3668184171547,1398.110260451005,1301.73853943408,-192.74344203385022,3
P3,26,C7,c3,AR,1R1V,0,3,1432.6326836925705,1517.294289954508,1474.9634868235394,-84.66160626193755,1
P3,26,S2,c3,AR,1R1V,0,3,1166.262523200308,1299.0253551767473,1232.6439391885276,-132.76283197643943,1
P3,27,C7,c3,AR,1R1V,0,3,1577.3433440548126,1662.912736588124,1620.1280403214682,-85.56939253331143,2
P3,27,S2,c3,AR,1R1V,0,3,1298.0096512189768,1466.3508278200418,1382.1802395195093,-168.34117660106494,2
P3,28,C7,c3,AR,1R1V,0,3,1389.3613605874841,1509.9513296227883,1449.656345105136,-120.5899690353042,3
P3,28,S2,c3,AR,1R1V,0,3,1225.0363910763976,1366.1476551462208,1295.5920231113091,-141.11126406982316,3
P3,29,C7,c4,AR,1R1V,2,4,1486.4634380069374,1530.904441685249,1508.6839398460932,-44.44100367831152,1
P3,29,S2,c4,AR,1R1V,2,4,1210.1970597751103,1398.9421787570473,1304.569619266079,-188.7451189819369,1
P3,30,C7,c4,AR,1R1V,2,4,1716.320474585235,1646.7593491454747,1681.539911865355,69.56112543976019,2
P3,30,S2,c4,AR,1R1V,2,4,1462.554070025455,1514.9040274655965,1488.7290487455257,-52.34995744014145,2
P3,31,C7,c4,AR,1R1V,2,4,1452.066982811831,1530.6453998065074,1491.3561913091692,-78.57841699467645,3
P3,31,S2,c4,AR,1R1V,2,4,1173.2207685786275,1331.5387259797071,1252.3797472791673,-158.31795740107964,3
P3,32,C7,c9,AR,0R2V,2,9,1421.304899942624,1698.7398060729452,1560.0223530077847,-277.4349061303212,1
P3,32,S2,c9,AR,0R2V,2,9,1255.6972317876296,1422.1592940806875,1338.9282629341585,-166.4620622930579,1
P3,33,C7,c9,AR,0R2V,2,9,1691.8766093895706,1594.4805451442428,1643.1785772669068,97.3960642453278,2
P3,33,S2,c9,AR,0R2V,2,9,1444.5590018360679,1561.6771905491512,1503.1180961926095,-117.11818871308333,2
P3,34,C7,c9,AR,0R2V,2,9,1359.9928943917002,1612.2593939657233,1486.126144178712,-252.2664995740231,3
P3,34,S2,c9,AR,0R2V,2,9,1281.1744547840547,1353.583749372948,1317.3791020785013,-72.40929458889332,3
P3,35,C7,c6,AR,2R0V,2,6,1371.5212092113431,1656.4731853957187,1513.9971973035308,-284.95197618437555,1
P3,35,S2,c6,AR,2R0V,2,6,1261.7527295937111,1332.999810882635,1297.3762702381732,-71.24708128892394,1
P3,36,C7,c6,AR,2R0V,2,6,1794.4063351541943,1644.7176082324202,1719.5619716933072,149.6887269217741,2
P3,36,S2,c6,AR,2R0V,2,6,1523.3043764591293,1628.026353915689,1575.6653651874092,-104.72197745655967,2
P3,37,C7,c6,AR,2R0V,2,6,1424.149526667341,1510.442815223369,1467.296170945355,-86.29328855602807,3
P3,37,S2,c6,AR,2R0V,2,6,1227.9834286407092,1338.6535595525536,1283.3184940966314,-110.67013091184435,3
